quote,author,book
"Remember, saying whatever we want, whenever we want, however we want, is not freedom. Real freedom is not feeling the need to say these things.
","Jay Shetty,
",Think Like a Monk: Train Your Mind for Peace and Purpose Every Day
"In 1902, the sociologist Charles Horton Cooley wrote: I am not what I think I am, and I am not what you think I am. I am what I think you think I am.
","Jay Shetty,
",Think Like a Monk: Train Your Mind for Peace and Purpose Every Day
"The more we define ourselves in relation to the people around us, the more lost we are.
","Jay Shetty,
",Think Like a Monk: Train Your Mind for Peace and Purpose Every Day
"Actually, the greatest detachment is being close to everything and not letting it consume and own you. Thats real strength.
","Jay Shetty,
",Think Like a Monk: Train Your Mind for Peace and Purpose Every Day
"When you learn to navigate and manage your breath, you can navigate any situation in life.
","Jay Shetty,
",Think Like a Monk: Train Your Mind for Peace and Purpose Every Day
"Negativity is a trait, not someones identity. A persons true nature can be obscured by clouds, but, like the sun, it is always there. And clouds can overcome any of us. We have to understand this when we deal with people who exude negative energy. Just like we wouldnt want someone to judge us by our worst moments, we must be careful not to do that to others. When someone hurts you, its because theyre hurt. Their hurt is simply spilling over. They need help. And as the Dalai Lama says, If you can, help others; if you cannot do that, at least do not harm them.
","Jay Shetty,
",Think Like a Monk: Train Your Mind for Peace and Purpose Every Day
"Salt is so humble that when something goes wrong, it takes the blame, and when everything goes right, it doesnt take credit.
","Jay Shetty,
",Think Like a Monk: Train Your Mind for Peace and Purpose Every Day
"Monks understand that routine frees your mind, but the biggest threat to that freedom is monotony. People complain about their poor memories, but Ive heard it said that we dont have a retention problem, we have an attention problem.
","Jay Shetty,
",Think Like a Monk: Train Your Mind for Peace and Purpose Every Day
"Because the only thing that stays with you from the moment youre born until the moment you die is your breath. All your friends, your family, the country you live in, all of that can change. The one thing that stays with you is your breath.
","Jay Shetty,
",Think Like a Monk: Train Your Mind for Peace and Purpose Every Day
"Find me someone who has gone to the darkest parts of their own character where they were so close to their own self-destruction and found a way to get up and out of it, and I will bow on my knees to you.  Youre my teacher.
","Jay Shetty,
",Think Like a Monk: Train Your Mind for Peace and Purpose Every Day
